,name,age,shots_total,shots_on_target,touches,pressures,tackles,interceptions,passes,progressive_passes,blocks,xg,npxg,xa,sca,gca,passes_completed,carries,progressive_carries,dribbles_completed,dribbles,fpl_points
0,Aaron-Connolly,21.0,0.5,0.0,8.5,6.75,0.0,0.0,4.5,0.0,0.5,0.1,0.1,0.1,0.5,0.0,3.75,5.5,0.75,0.0,0.25,1.25
1,Aaron-Cresswell,31.6,0.6,0.2,80.6,7.6,1.2,1.2,72.2,5.0,2.0,0.02,0.02,0.06000000000000001,1.0,0.0,57.4,52.0,4.2,0.0,0.4,2.6
2,Aaron-Lennon,34.6,1.0,0.2,15.0,9.8,0.8,0.8,8.4,0.6,2.0,0.06000000000000001,0.06000000000000001,0.0,1.0,0.0,5.8,8.8,1.2,0.4,0.8,1.4
3,Aaron-Wan-Bissaka,23.6,0.6,0.2,69.8,11.8,2.0,3.0,57.6,3.8,2.6,0.02,0.02,0.08,2.2,0.0,49.8,49.4,5.6,2.2,3.6,2.0
4,Abdoulaye-Doucoure,28.8,0.6,0.2,53.8,27.6,2.8,1.0,42.6,3.2,1.2,0.02,0.02,0.04,1.8,0.2,34.4,30.4,3.0,0.2,1.0,1.6
5,Adam-Armstrong,24.4,2.0,0.8,20.2,7.8,0.2,0.6,13.4,1.2,0.4,0.2,0.2,0.02,1.6,0.0,10.2,13.8,2.6,0.6,1.4,1.4
6,Adam-Forshaw,30.0,0.8,0.0,54.4,21.2,2.8,2.2,45.2,3.2,1.2,0.02,0.02,0.06,0.8,0.0,36.0,35.4,3.0,0.8,1.4,2.0
7,Adam-Idah,20.0,0.8,0.0,17.0,8.0,0.6,0.4,9.6,0.2,0.0,0.18,0.18,0.06000000000000001,0.8,0.2,6.4,12.2,1.0,0.6,0.6,2.2
8,Adam-Lallana,33.0,1.0,0.4,50.2,12.2,0.8,1.6,41.8,1.8,1.6,0.02,0.02,0.04,1.4,0.2,38.4,36.4,3.8,0.8,1.2,1.6
9,Adam-Masina,27.4,0.4,0.0,36.4,8.6,1.6,1.8,29.8,1.4,1.4,0.06000000000000001,0.06000000000000001,0.06000000000000001,1.0,0.2,20.6,16.6,1.6,0.8,1.0,2.2
10,Adam-Webster,26.6,0.6,0.0,73.4,5.2,1.0,1.6,61.4,3.0,3.8,0.02,0.02,0.0,0.4,0.0,50.4,41.0,2.8,0.2,0.2,1.2
11,Adama-Traore,25.0,1.6,0.4,24.6,8.6,0.8,0.2,15.6,1.2,0.6,0.18,0.18,0.02,2.0,0.4,10.8,24.4,4.0,3.4,5.0,1.6
12,Ademola-Lookman,24.0,0.4,0.2,24.4,11.4,1.0,0.6,16.8,2.4,1.0,0.04,0.04,0.08,0.6,0.0,13.0,20.4,3.6,0.8,1.6,1.4
13,Ainsley-Maitland-Niles,24.0,0.4,0.0,25.4,7.0,1.2,0.4,19.8,2.2,1.0,0.0,0.0,0.08,1.6,0.0,15.0,15.4,2.0,0.4,1.2,1.4
14,Albert-Sambi-Lokonga,21.8,1.6,0.6,60.2,5.6,0.6,1.4,52.6,3.8,0.4,0.04,0.04,0.02,2.4,0.0,47.4,44.4,7.6,0.0,0.0,1.6
15,Alejandro-Garnacho,17.0,0.0,0.0,1.5,4.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,1.0
16,Alex-Iwobi,25.2,0.8,0.2,36.6,20.8,1.6,1.4,25.4,2.6,2.4,0.06000000000000001,0.06000000000000001,0.02,2.4,0.2,19.4,24.6,3.6,1.2,2.2,2.6
17,Alex-Kral,23.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
18,Alex-Oxlade-Chamberlain,28.0,1.4,0.4,22.6,10.2,0.6,0.0,17.6,1.6,0.6,0.08,0.08,0.04,1.4,0.0,12.6,17.4,3.6,0.6,0.8,2.2
19,Alex-Telles,29.0,1.0,0.2,59.8,9.6,2.0,2.0,51.4,3.4,0.6,0.06000000000000001,0.06000000000000001,0.1,2.0,0.4,38.4,38.6,4.2,0.8,1.2,2.4
