,name,index,goals,assists,xg,npxg,xa,fpl_points
0,Aaron-Connolly,17020,0,0,0.4,0.4,0.4,5
1,Aaron-Cresswell,180531,2,3,0.8999999999999999,0.8999999999999999,3.1000000000000005,75
2,Aaron-Lennon,160706,2,0,1.0999999999999999,1.0999999999999999,0.4,50
3,Aaron-Ramsdale,178403,0,0,0.0,0.0,0.0,67
4,Aaron-Wan-Bissaka,88764,0,0,0.1,0.1,0.8,38
5,Abdoulaye-Doucoure,148964,2,4,2.6,2.6,2.2,72
6,Adam-Armstrong,126895,2,2,4.300000000000001,4.300000000000001,1.7000000000000002,51
7,Adam-Forshaw,113580,0,1,0.30000000000000004,0.30000000000000004,1.0999999999999999,36
8,Adam-Idah,97432,1,1,2.0,2.0,0.6000000000000001,30
9,Adam-Lallana,96972,0,1,1.1,1.1,0.6,38
10,Adam-Masina,66234,0,1,0.5,0.5,0.7,29
11,Adam-Webster,98209,2,0,1.1,1.1,0.1,39
12,Adama-Traore,121503,1,0,2.4,2.4,1.6000000000000003,35
13,Ademola-Lookman,156102,6,0,5.1000000000000005,5.1000000000000005,1.8000000000000003,62
14,Ainsley-Maitland-Niles,40601,0,0,0.0,0.0,0.4,10
15,Albert-Sambi-Lokonga,105997,0,0,0.4,0.4,0.7,25
16,Alejandro-Garnacho,13131,0,0,0.0,0.0,0.0,2
17,Alex-Iwobi,146376,2,2,1.6,1.6,2.6999999999999997,64
18,Alex-Kral,2506,0,0,0.0,0.0,0.0,1
19,Alex-McCarthy,84152,0,0,0.0,0.0,0.0,33
20,Alex-Oxlade-Chamberlain,95989,2,1,0.9,0.9,0.8999999999999999,35
21,Alex-Telles,96173,0,4,0.5,0.5,1.9000000000000001,50
22,Alexandre-Lacazette,153202,4,7,8.0,5.800000000000001,2.1,84
23,Alexis-Mac-Allister,162595,5,2,6.3999999999999995,4.1,1.5,74
24,Alisson,192294,0,1,0.0,0.0,0.5,73
25,Allan,134808,0,2,0.1,0.1,0.7,50
26,Allan-Saint-Maximin,173080,5,5,5.1,5.1,5.899999999999999,95
27,Alphonse-Areola,4794,0,0,0.0,0.0,0.0,2
28,Alvaro-Fernandez,71897,0,0,0.0,0.0,0.0,22
29,Andre-Gomes,67647,0,1,0.5,0.5,0.2,18
30,Andreas-Christensen,97756,0,0,0.4,0.4,0.2,32
31,Andrew-Omobamidele,24256,1,0,0.30000000000000004,0.30000000000000004,0.0,12
32,Andrew-Robertson,148876,3,10,1.7000000000000004,1.7000000000000004,5.199999999999999,95
33,Andriy-Yarmolenko,102590,1,0,0.7000000000000001,0.7000000000000001,0.1,23
34,Andros-Townsend,98299,3,2,2.2,1.5000000000000004,2.3000000000000003,52
35,Angelo-Ogbonna,61747,1,0,0.2,0.2,0.0,24
36,Angus-Gunn,38155,0,0,0.0,0.0,0.0,18
37,Anthony-Elanga,114587,2,2,2.9,2.9,1.8000000000000003,48
38,Anthony-Gordon,183642,4,2,3.100000000000001,3.100000000000001,3.3000000000000003,77
39,Anthony-Martial,16358,1,0,0.5,0.5,0.1,12
40,Antonio-Rudiger,185018,3,0,2.6000000000000005,2.6000000000000005,1.1,71
41,Anwar-El-Ghazi,70267,1,1,1.0,0.30000000000000004,0.4,19
42,Armando-Broja,180935,6,0,6.800000000000001,6.800000000000001,1.2,75
43,Arthur-Masuaku,61171,1,1,0.1,0.1,0.8,24
44,Ashley-Barnes,117387,1,0,1.7,0.8999999999999999,1.5999999999999999,30
45,Ashley-Fletcher,17364,0,0,0.4,0.4,0.0,3
46,Ashley-Westwood,140233,0,3,1.0,1.0,3.6,54
47,Ashley-Young,138648,0,2,0.30000000000000004,0.30000000000000004,0.7,39
48,Asmir-Begovic,12839,0,0,0.0,0.0,0.0,6
49,Axel-Tuanzebe,47045,0,0,0.2,0.2,0.0,13
50,Aymeric-Laporte,152463,4,0,4.3999999999999995,4.3999999999999995,0.4,76
51,Ayoze-Perez,71439,2,3,1.4,1.4,1.0,33
52,Bali-Mumba,2287,0,0,0.0,0.0,0.0,1
53,Ben-Chilwell,39492,3,1,1.3,1.3,0.8999999999999999,28
54,Ben-Davies,168608,1,1,1.6,1.6,0.5,58
55,Ben-Foster,132134,0,1,0.0,0.0,0.2,55
56,Ben-Gibson,124808,0,0,1.0,1.0,0.0,51
57,Ben-Godfrey,121031,0,0,1.0,1.0,0.6,40
58,Ben-Johnson,107140,1,0,0.0,0.0,0.8,37
59,Ben-Mee,109245,3,0,1.8000000000000003,1.8000000000000003,0.0,48
60,Ben-White,160446,0,0,1.0,1.0,0.5,59
61,Benjamin-Mendy,6636,0,0,0.0,0.0,0.3,2
62,Bernardo-Silva,153637,8,4,6.900000000000001,6.900000000000001,5.000000000000001,104
63,Bernd-Leno,16026,0,0,0.0,0.0,0.0,8
64,Bertrand-Traore,44771,0,0,0.30000000000000004,0.30000000000000004,0.0,10
65,Billy-Gilmour,113625,0,1,0.9,0.9,1.8000000000000003,46
66,Boubakary-Soumare,94630,0,1,0.5,0.5,0.30000000000000004,33
67,Brandon-Williams,125113,0,1,0.2,0.2,1.1,44
68,Bruno-Fernandes,165991,10,6,9.599999999999998,8.2,8.399999999999999,115
69,Bruno-Guimaraes,106126,5,1,2.9000000000000004,2.9000000000000004,1.9,47
70,Bryan,43516,0,0,0.0,0.0,0.0,9
71,Bryan-Mbeumo,202331,4,7,9.899999999999999,9.2,3.4000000000000004,100
