,shirtnumber,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,name,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,Venue,TeamName
0,10,FW,30,90,1,0,0,0,3,2,0,0,56,17,2,0,1,0.5,0.5,0.2,4,0,32,44,72.7,4,41,9,2,2,Sadio-Mane,492,116,18,19,94.7,13,18,72.2,1,4,25.0,3,5,0,0,41,3,0,0,6,0,2,0,0,0,0,29,12,3,13,27,1,1,1,0,0,0,2,1,0,1,1,1,2,50.0,1,3,17.6,1,6,10,1,0,0,2,0,0,0,2,32,30,7,53,100.0,2,1,241,142,4,2,2,2,54,45,83.3,16,0,1,1,1,0,0,0,5,1,0,100.0,Home,Liverpool
1,23,LW,25,90,0,0,0,0,3,0,0,0,57,13,1,0,0,0.5,0.5,0.1,8,0,39,45,86.7,4,50,5,4,7,Luis-Diaz,678,146,18,21,85.7,16,17,94.1,4,5,80.0,3,0,2,1,45,0,0,0,2,1,3,0,0,0,0,37,2,6,8,35,1,0,0,0,0,2,0,1,0,1,0,1,1,100.0,0,3,23.1,1,7,5,0,0,0,1,0,0,0,3,16,42,12,57,57.1,4,0,258,71,2,1,3,2,56,47,83.9,15,0,0,0,0,0,0,0,9,1,0,100.0,Home,Liverpool
2,20,RW,25,57,0,0,0,0,3,0,0,0,33,13,1,0,0,0.5,0.5,0.0,0,0,15,23,65.2,3,22,4,1,1,Diogo-Jota,211,66,10,11,90.9,2,5,40.0,2,2,100.0,0,0,1,0,23,0,0,0,3,0,1,0,0,0,0,18,4,1,5,17,0,0,1,1,0,2,4,0,0,0,1,1,4,25.0,3,3,23.1,0,5,8,0,0,0,1,0,0,0,3,11,21,7,33,100.0,1,0,135,81,1,0,2,1,26,21,80.8,6,0,1,0,0,0,0,0,7,0,1,0.0,Home,Liverpool
3,11,RW,29,33,1,0,0,0,8,3,0,0,21,4,0,0,1,0.9,0.9,0.1,3,0,9,10,90.0,2,13,4,1,2,Mohamed-Salah,107,29,7,8,87.5,2,2,100.0,0,0,,1,0,2,0,10,0,0,0,2,0,0,0,0,0,0,9,1,0,9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,1,25.0,0,1,3,0,0,1,0,0,0,0,0,4,18,10,21,50.0,1,0,61,46,0,2,0,0,23,15,65.2,5,0,0,1,0,0,0,0,5,0,1,0.0,Home,Liverpool
4,6,CM,31,45,0,1,0,0,2,0,0,0,51,11,2,0,0,0.0,0.0,0.3,1,1,40,45,88.9,7,43,7,0,0,Thiago-Alcantara,954,275,9,10,90.0,19,19,100.0,12,16,75.0,1,9,0,0,45,0,0,1,1,3,0,0,0,0,0,32,6,7,2,43,0,0,0,0,1,0,1,1,0,2,0,1,2,50.0,1,3,27.3,2,6,3,0,0,0,2,0,0,0,6,36,10,0,51,,0,0,180,89,1,0,1,1,40,40,100.0,3,0,1,1,0,0,0,0,8,0,0,,Home,Liverpool
5,7,CM,36,45,0,0,0,0,0,0,0,0,48,11,0,1,1,0.0,0.0,0.0,2,0,41,44,93.2,6,33,4,0,0,James-Milner,684,180,19,21,90.5,19,20,95.0,2,2,100.0,0,2,0,0,44,0,0,0,0,0,0,0,0,0,0,38,3,3,2,41,1,0,0,0,0,1,0,0,0,0,0,0,0,,0,2,18.2,0,6,5,0,0,1,1,0,0,2,4,31,18,2,48,,0,0,146,85,2,1,1,2,43,43,100.0,8,0,0,0,0,0,0,0,4,0,1,0.0,Home,Liverpool
6,8,CM,27,69,0,0,0,0,1,0,0,0,52,19,2,2,2,0.3,0.3,0.2,3,0,35,43,81.4,2,27,3,0,1,Naby-Keita,508,151,18,19,94.7,14,18,77.8,0,2,0.0,2,3,1,0,43,0,0,0,4,1,1,0,0,0,0,33,7,3,6,36,1,0,0,1,2,1,1,1,1,1,0,0,1,0.0,1,6,31.6,3,8,8,0,0,2,4,0,0,0,6,23,25,6,52,0.0,0,0,135,86,1,2,1,0,45,39,86.7,4,0,1,0,0,0,0,0,7,0,0,,Home,Liverpool
7,9,AM,30,21,0,1,0,0,1,0,0,0,25,8,1,0,0,0.1,0.1,0.1,2,1,15,20,75.0,1,14,3,0,0,Roberto-Firmino,187,27,10,11,90.9,2,4,50.0,1,1,100.0,2,1,0,0,18,2,1,0,3,0,0,0,0,0,0,18,2,0,4,14,1,1,0,0,0,0,2,0,0,0,1,0,0,,0,2,25.0,1,2,5,0,0,0,1,1,0,1,1,16,11,5,23,,0,0,85,44,3,0,1,1,20,19,95.0,6,0,0,0,0,0,0,0,2,0,0,,Home,Liverpool
8,14,DM,31,90,0,0,0,0,0,0,0,0,92,7,0,2,0,0.0,0.0,0.1,5,0,83,90,92.2,7,62,9,0,0,Jordan-Henderson,1671,305,25,27,92.6,44,46,95.7,11,14,78.6,1,3,4,0,88,2,1,0,5,3,0,0,0,0,0,69,7,14,9,76,3,1,1,0,0,2,0,0,0,0,0,0,1,0.0,1,2,28.6,0,5,2,0,0,0,2,0,0,1,19,62,14,0,90,,0,0,347,176,0,0,0,0,73,73,100.0,1,0,1,0,0,0,0,0,14,0,1,0.0,Home,Liverpool
9,26,LB,28,90,1,0,0,0,2,1,0,0,115,14,1,0,1,0.1,0.1,0.0,1,1,96,106,90.6,14,80,17,1,3,Andrew-Robertson,1774,579,41,42,97.6,45,50,90.0,10,14,71.4,0,7,4,1,92,14,1,1,1,2,3,1,0,1,0,81,14,11,89,5,0,12,0,0,1,0,0,1,1,0,0,1,1,100.0,0,9,64.3,4,4,6,0,0,1,1,2,0,3,21,59,42,5,101,33.3,2,1,419,245,3,1,1,0,95,90,94.7,6,0,0,0,0,0,0,0,6,0,0,,Home,Liverpool
